Approval,Date,Value,Variable,date
Disapprove,07/11/2011,0.58,All Adults,07/11/2011
Don't know,08/11/2011,0.15,All Adults,08/11/2011
Approve,09/11/2011,0.27,All Adults,09/11/2011
Disapprove,10/11/2011,0.58,All Adults,10/11/2011
Don't know,11/11/2011,0.15,All Adults,11/11/2011
Approve,12/11/2011,0.27,All Adults,12/11/2011
Disapprove,13/11/2011,0.58,All Adults,13/11/2011
Don't know,14/11/2011,0.15,All Adults,14/11/2011
Approve,15/11/2011,0.26,All Adults,15/11/2011
Disapprove,16/11/2011,0.59,All Adults,16/11/2011
Don't know,17/11/2011,0.15,All Adults,17/11/2011
Approve,18/11/2011,0.26,All Adults,18/11/2011
Disapprove,19/11/2011,0.59,All Adults,19/11/2011
Don't know,20/11/2011,0.15,All Adults,20/11/2011
Approve,21/11/2011,0.26,All Adults,21/11/2011
Disapprove,22/11/2011,0.59,All Adults,22/11/2011
Don't know,23/11/2011,0.15,All Adults,23/11/2011
Approve,24/11/2011,0.26,All Adults,24/11/2011
Disapprove,25/11/2011,0.59,All Adults,25/11/2011
Don't know,26/11/2011,0.15,All Adults,26/11/2011
Approve,27/11/2011,0.26,All Adults,27/11/2011
Disapprove,28/11/2011,0.59,All Adults,28/11/2011
Don't know,29/11/2011,0.15,All Adults,29/11/2011
Approve,30/11/2011,0.26,All Adults,30/11/2011
Disapprove,01/12/2011,0.58,All Adults,01/12/2011
Don't know,02/12/2011,0.16,All Adults,02/12/2011
Approve,03/12/2011,0.25,All Adults,03/12/2011
Disapprove,04/12/2011,0.6,All Adults,04/12/2011
Don't know,05/12/2011,0.15,All Adults,05/12/2011
Approve,06/12/2011,0.26,All Adults,06/12/2011
Disapprove,07/12/2011,0.57,All Adults,07/12/2011
Don't know,08/12/2011,0.17,All Adults,08/12/2011
Approve,09/12/2011,0.27,All Adults,09/12/2011
Disapprove,10/12/2011,0.59,All Adults,10/12/2011
Don't know,11/12/2011,0.14,All Adults,11/12/2011
Approve,12/12/2011,0.27,All Adults,12/12/2011
Disapprove,13/12/2011,0.57,All Adults,13/12/2011
Don't know,14/12/2011,0.16,All Adults,14/12/2011
Approve,15/12/2011,0.27,All Adults,15/12/2011
Disapprove,16/12/2011,0.57,All Adults,16/12/2011
Don't know,17/12/2011,0.15,All Adults,17/12/2011
Approve,18/12/2011,0.26,All Adults,18/12/2011
Disapprove,19/12/2011,0.59,All Adults,19/12/2011
Don't know,20/12/2011,0.15,All Adults,20/12/2011
