Approval,Date,Value,Variable
Approve,27/08/2014,0.31,All Adults
Disapprove,27/08/2014,0.54,All Adults
Don't know,27/08/2014,0.15,All Adults
Approve,03/09/2014,0.3,All Adults
Disapprove,03/09/2014,0.54,All Adults
Don't know,03/09/2014,0.16,All Adults
Approve,10/09/2014,0.31,All Adults
Disapprove,10/09/2014,0.55,All Adults
Don't know,10/09/2014,0.15,All Adults
Approve,17/09/2014,0.31,All Adults
Disapprove,17/09/2014,0.55,All Adults
Don't know,17/09/2014,0.15,All Adults
Approve,24/09/2014,0.31,All Adults
Disapprove,24/09/2014,0.54,All Adults
Don't know,24/09/2014,0.15,All Adults
Approve,01/10/2014,0.31,All Adults
Disapprove,01/10/2014,0.55,All Adults
Don't know,01/10/2014,0.14,All Adults
Approve,08/10/2014,0.33,All Adults
Disapprove,08/10/2014,0.54,All Adults
Don't know,08/10/2014,0.13,All Adults
Approve,15/10/2014,0.31,All Adults
Disapprove,15/10/2014,0.55,All Adults
Don't know,15/10/2014,0.14,All Adults
Approve,22/10/2014,0.31,All Adults
Disapprove,22/10/2014,0.54,All Adults
Don't know,22/10/2014,0.15,All Adults
Approve,29/10/2014,0.31,All Adults
Disapprove,29/10/2014,0.54,All Adults
Don't know,29/10/2014,0.14,All Adults
Approve,05/11/2014,0.31,All Adults
Disapprove,05/11/2014,0.54,All Adults
Don't know,05/11/2014,0.15,All Adults
Approve,12/11/2014,0.31,All Adults
Disapprove,12/11/2014,0.55,All Adults
Don't know,12/11/2014,0.15,All Adults
Approve,19/11/2014,0.31,All Adults
Disapprove,19/11/2014,0.53,All Adults
Don't know,19/11/2014,0.15,All Adults
Approve,26/11/2014,0.31,All Adults
Disapprove,26/11/2014,0.55,All Adults
Don't know,26/11/2014,0.13,All Adults
Approve,03/12/2014,0.31,All Adults
Disapprove,03/12/2014,0.55,All Adults
Don't know,03/12/2014,0.15,All Adults
Approve,09/12/2014,0.31,All Adults
Disapprove,09/12/2014,0.55,All Adults
Don't know,09/12/2014,0.14,All Adults
Approve,17/12/2014,0.31,All Adults
Disapprove,17/12/2014,0.54,All Adults
Don't know,17/12/2014,0.15,All Adults
Approve,22/12/2014,0.31,All Adults
Disapprove,22/12/2014,0.54,All Adults
Don't know,22/12/2014,0.15,All Adults
Approve,07/01/2015,0.32,All Adults
Disapprove,07/01/2015,0.53,All Adults
Don't know,07/01/2015,0.15,All Adults
Approve,14/01/2015,0.31,All Adults
Disapprove,14/01/2015,0.54,All Adults
Don't know,14/01/2015,0.15,All Adults
Approve,21/01/2015,0.32,All Adults
Disapprove,21/01/2015,0.53,All Adults
Don't know,21/01/2015,0.15,All Adults
Approve,28/01/2015,0.33,All Adults
Disapprove,28/01/2015,0.53,All Adults
Don't know,28/01/2015,0.14,All Adults
Approve,04/02/2015,0.33,All Adults
Disapprove,04/02/2015,0.52,All Adults
Don't know,04/02/2015,0.16,All Adults
Approve,11/02/2015,0.32,All Adults
Disapprove,11/02/2015,0.53,All Adults
Don't know,11/02/2015,0.15,All Adults
Approve,18/02/2015,0.32,All Adults
Disapprove,18/02/2015,0.53,All Adults
Don't know,18/02/2015,0.15,All Adults
Approve,24/02/2015,0.33,All Adults
Disapprove,24/02/2015,0.52,All Adults
Don't know,24/02/2015,0.14,All Adults
Approve,04/03/2015,0.33,All Adults
Disapprove,04/03/2015,0.53,All Adults
Don't know,04/03/2015,0.14,All Adults
Approve,11/03/2015,0.34,All Adults
Disapprove,11/03/2015,0.51,All Adults
Don't know,11/03/2015,0.15,All Adults
Approve,18/03/2015,0.34,All Adults
Disapprove,18/03/2015,0.51,All Adults
Don't know,18/03/2015,0.16,All Adults
Approve,25/03/2015,0.37,All Adults
Disapprove,25/03/2015,0.49,All Adults
Don't know,25/03/2015,0.15,All Adults
Approve,01/04/2015,0.36,All Adults
Disapprove,01/04/2015,0.49,All Adults
Don't know,01/04/2015,0.15,All Adults
Approve,08/04/2015,0.37,All Adults
Disapprove,08/04/2015,0.49,All Adults
Don't know,08/04/2015,0.14,All Adults
Approve,15/04/2015,0.37,All Adults
Disapprove,15/04/2015,0.5,All Adults
Don't know,15/04/2015,0.13,All Adults
Approve,21/04/2015,0.37,All Adults
Disapprove,21/04/2015,0.5,All Adults
Don't know,21/04/2015,0.13,All Adults
Approve,28/04/2015,0.37,All Adults
Disapprove,28/04/2015,0.5,All Adults
Don't know,28/04/2015,0.13,All Adults
Approve,05/05/2015,0.38,All Adults
Disapprove,05/05/2015,0.49,All Adults
Don't know,05/05/2015,0.13,All Adults
Approve,13/05/2015,0.41,All Adults
Disapprove,13/05/2015,0.45,All Adults
Don't know,13/05/2015,0.14,All Adults
Approve,18/05/2015,0.4,All Adults
